Province;Total infected cases;Today infected cases;Deaths;Date
Ho Chi Minh;112,215;2563;2105;06-Thg8-21
Binh Duong;22,689;322;144;06-Thg8-21
Long An;8,451;286;84;06-Thg8-21
Dong Nai;6,347;207;39;06-Thg8-21
Bac Giang;5,82;0;13;06-Thg8-21
Khanh Hoa;3,214;53;81;06-Thg8-21
Dong Thap;3;0;24;06-Thg8-21
Tien Giang;2,77;253;75;06-Thg8-21
Tay Ninh;2,377;0;1;06-Thg8-21
Ha Noi;2,069;1;25;06-Thg8-21
Ba Ria - Vung Tau;1,853;77;42;06-Thg8-21
Da Nang;1,759;0;13;06-Thg8-21
Can Tho;1,718;0;2;06-Thg8-21
Phu Yen;1,595;27;0;06-Thg8-21
Bac Ninh;1,469;0;6;06-Thg8-21
Vinh Long;1,155;63;16;06-Thg8-21
Binh Thuan;993;0;3;06-Thg8-21
Ben Tre;980;0;22;06-Thg8-21
Hai Duong;873;1;0;06-Thg8-21
An Giang;484;47;4;06-Thg8-21
Tra Vinh;455;34;3;06-Thg8-21
Kien Giang;404;17;2;06-Thg8-21
Ninh Thuan;336;0;0;06-Thg8-21
Soc Trang;322;0;2;06-Thg8-21
Quang Ngai;318;19;0;06-Thg8-21
Binh Dinh;307;0;4;06-Thg8-21
Quang Nam;300;0;0;06-Thg8-21
Dak Lak;292;0;2;06-Thg8-21
Hau Giang;259;0;0;06-Thg8-21
Hung Yen;256;0;1;06-Thg8-21
Nghe An;254;0;0;06-Thg8-21
Binh Phuoc;251;0;0;06-Thg8-21
Vinh Phuc;251;0;1;06-Thg8-21
Gia Lai;205;5;1;06-Thg8-21
Ha Tinh;182;14;0;06-Thg8-21
Thanh Hoa;137;2;1;06-Thg8-21
Thua Thien Hue;135;4;0;06-Thg8-21
Dak Nong;114;4;0;06-Thg8-21
Lang Son;104;2;0;06-Thg8-21
Bac Lieu;104;0;0;06-Thg8-21
Quang Ninh;101;0;0;06-Thg8-21
Thai Binh;86;0;0;06-Thg8-21
Lam Dong;81;0;0;06-Thg8-21
Ninh Binh;73;0;0;06-Thg8-21
Ha Nam;61;0;0;06-Thg8-21
Quang Binh;59;4;0;06-Thg8-21
Dien Bien;51;0;0;06-Thg8-21
Ca Mau;45;0;0;06-Thg8-21
Son La;40;0;0;06-Thg8-21
Lao Cai;38;0;0;06-Thg8-21
Hoa Binh;36;2;1;06-Thg8-21
Hai Phong;31;0;0;06-Thg8-21
Quang Tri;28;2;0;06-Thg8-21
Nam Dinh;24;0;0;06-Thg8-21
Ha Giang;22;0;0;06-Thg8-21
Kon Tum;20;0;0;06-Thg8-21
Thai Nguyen;19;0;0;06-Thg8-21
Phu Tho;16;0;0;06-Thg8-21
Yen Bai;7;0;0;06-Thg8-21
Bac Kan;6;0;0;06-Thg8-21
Lai Chau;2;0;0;06-Thg8-21
Tuyen Quang;2;0;0;06-Thg8-21
Ho Chi Minh;115,548;1836;2324;07-Thg8-21
Binh Duong;24,418;882;145;07-Thg8-21
Long An;9,184;160;104;07-Thg8-21
Dong Nai;7,16;466;53;07-Thg8-21
Bac Giang;5,82;0;13;07-Thg8-21
Khanh Hoa;3,313;11;81;07-Thg8-21
Dong Thap;3,229;0;27;07-Thg8-21
Tien Giang;2,935;165;79;07-Thg8-21
Tay Ninh;2,479;0;6;07-Thg8-21
Ha Noi;2,184;0;29;07-Thg8-21
Ba Ria - Vung Tau;1,914;0;43;07-Thg8-21
Da Nang;1,818;100;2;07-Thg8-21
Can Tho;1,759;0;14;07-Thg8-21
Phu Yen;1,642;31;0;07-Thg8-21
Bac Ninh;1,563;0;11;07-Thg8-21
Vinh Long;1,217;62;23;07-Thg8-21
Binh Thuan;1,059;0;4;07-Thg8-21
Ben Tre;1,032;0;29;07-Thg8-21
Hai Duong;880;3;0;07-Thg8-21
An Giang;484;0;4;07-Thg8-21
Tra Vinh;483;0;4;07-Thg8-21
Kien Giang;421;17;2;07-Thg8-21
Ninh Thuan;347;0;2;07-Thg8-21
Soc Trang;341;0;0;07-Thg8-21
Quang Ngai;335;17;0;07-Thg8-21
Binh Dinh;318;0;4;07-Thg8-21
Quang Nam;300;0;0;07-Thg8-21
Dak Lak;292;0;4;07-Thg8-21
Hau Giang;277;0;1;07-Thg8-21
Hung Yen;276;0;0;07-Thg8-21
Nghe An;266;0;0;07-Thg8-21
Binh Phuoc;256;0;0;07-Thg8-21
Vinh Phuc;253;0;1;07-Thg8-21
Gia Lai;213;0;2;07-Thg8-21
Ha Tinh;192;0;0;07-Thg8-21
Thanh Hoa;142;2;0;07-Thg8-21
Thua Thien Hue;137;0;1;07-Thg8-21
Dak Nong;121;7;0;07-Thg8-21
Lang Son;107;3;0;07-Thg8-21
Bac Lieu;105;0;0;07-Thg8-21
Quang Ninh;104;0;0;07-Thg8-21
Thai Binh;94;0;0;07-Thg8-21
Lam Dong;89;0;0;07-Thg8-21
Ninh Binh;73;0;0;07-Thg8-21
Ha Nam;71;2;0;07-Thg8-21
Quang Binh;61;0;0;07-Thg8-21
Dien Bien;49;0;0;07-Thg8-21
Ca Mau;45;0;0;07-Thg8-21
Son La;44;20;0;07-Thg8-21
Lao Cai;40;0;0;07-Thg8-21
Hoa Binh;38;0;0;07-Thg8-21
Hai Phong;37;0;0;07-Thg8-21
Quang Tri;36;0;1;07-Thg8-21
Nam Dinh;31;0;0;07-Thg8-21
Ha Giang;23;0;0;07-Thg8-21
Kon Tum;20;0;0;07-Thg8-21
Thai Nguyen;19;0;0;07-Thg8-21
Phu Tho;16;0;0;07-Thg8-21
Yen Bai;7;0;0;07-Thg8-21
Bac Kan;6;0;0;07-Thg8-21
Lai Chau;2;0;0;07-Thg8-21
Tuyen Quang;2;0;0;07-Thg8-21
Ho Chi Minh;123,891;2351;2744;09-Thg8-21
Binh Duong;29,353;1725;176;09-Thg8-21
Long An;10,402;287;111;09-Thg8-21
Dong Nai;8,2;183;34;09-Thg8-21
Bac Giang;5,82;0;12;09-Thg8-21
Khanh Hoa;3,597;0;25;09-Thg8-21
Dong Thap;3,472;18;77;09-Thg8-21
Tien Giang;2,935;0;54;09-Thg8-21
Tay Ninh;2,77;157;6;09-Thg8-21
Ha Noi;2,312;4;26;09-Thg8-21
Ba Ria - Vung Tau;2,183;177;1;09-Thg8-21
Da Nang;2,044;0;41;09-Thg8-21
Can Tho;1,802;27;12;09-Thg8-21
Phu Yen;1,762;31;0;09-Thg8-21
Bac Ninh;1,759;0;14;09-Thg8-21
Vinh Long;1,331;57;17;09-Thg8-21
Binh Thuan;1,166;0;4;09-Thg8-21
Ben Tre;1,101;0;17;09-Thg8-21
Hai Duong;896;5;0;09-Thg8-21
An Giang;580;50;1;09-Thg8-21
Tra Vinh;550;0;4;09-Thg8-21
Kien Giang;458;19;2;09-Thg8-21
Ninh Thuan;454;0;3;09-Thg8-21
Soc Trang;386;0;2;09-Thg8-21
Quang Ngai;362;0;0;09-Thg8-21
Binh Dinh;349;0;1;09-Thg8-21
Quang Nam;334;0;4;09-Thg8-21
Dak Lak;317;0;1;09-Thg8-21
Hau Giang;304;15;1;09-Thg8-21
Hung Yen;302;0;0;09-Thg8-21
Nghe An;277;0;1;09-Thg8-21
Binh Phuoc;263;0;0;09-Thg8-21
Vinh Phuc;254;0;1;09-Thg8-21
Gia Lai;227;14;0;09-Thg8-21
Ha Tinh;227;0;2;09-Thg8-21
Thanh Hoa;148;0;0;09-Thg8-21
Thua Thien Hue;145;17;0;09-Thg8-21
Dak Nong;142;14;0;09-Thg8-21
Lang Son;139;0;1;09-Thg8-21
Bac Lieu;113;1;0;09-Thg8-21
Quang Ninh;104;0;0;09-Thg8-21
Thai Binh;99;0;0;09-Thg8-21
Lam Dong;92;0;0;09-Thg8-21
Ninh Binh;91;0;0;09-Thg8-21
Ha Nam;74;0;0;09-Thg8-21
Quang Binh;65;0;0;09-Thg8-21
Dien Bien;61;0;0;09-Thg8-21
Ca Mau;52;1;1;09-Thg8-21
Son La;47;1;0;09-Thg8-21
Lao Cai;45;1;0;09-Thg8-21
Hoa Binh;45;0;0;09-Thg8-21
Hai Phong;38;0;0;09-Thg8-21
Quang Tri;36;0;1;09-Thg8-21
Nam Dinh;31;0;0;09-Thg8-21
Ha Giang;24;0;0;09-Thg8-21
Kon Tum;20;0;0;09-Thg8-21
Thai Nguyen;19;0;0;09-Thg8-21
Phu Tho;18;0;0;09-Thg8-21
Yen Bai;7;0;0;09-Thg8-21
Bac Kan;6;0;0;09-Thg8-21
Lai Chau;2;0;0;09-Thg8-21
Tuyen Quang;2;0;0;09-Thg8-21
Ho Chi Minh;128,024;2491;3013;10-Thg8-21
Binh Duong;31,84;1325;176;10-Thg8-21
Long An;10,715;313;114;10-Thg8-21
Dong Nai;8,909;354;72;10-Thg8-21
Bac Giang;5,821;0;12;10-Thg8-21
Khanh Hoa;3,63;0;26;10-Thg8-21
Dong Thap;3,546;13;79;10-Thg8-21
Tien Giang;3,286;100;93;10-Thg8-21
Tay Ninh;3,009;106;7;10-Thg8-21
Ha Noi;2,387;1;27;10-Thg8-21
Ba Ria - Vung Tau;2,357;109;1;10-Thg8-21
Da Nang;2,104;0;41;10-Thg8-21
Can Tho;1,896;23;14;10-Thg8-21
Phu Yen;1,828;13;0;10-Thg8-21
Bac Ninh;1,759;0;14;10-Thg8-21
Vinh Long;1,383;52;19;10-Thg8-21
Binh Thuan;1,2;0;4;10-Thg8-21
Ben Tre;1,159;58;17;10-Thg8-21
Hai Duong;904;1;0;10-Thg8-21
An Giang;633;53;1;10-Thg8-21
Tra Vinh;565;0;4;10-Thg8-21
Ninh Thuan;486;32;3;10-Thg8-21
Kien Giang;485;26;2;10-Thg8-21
Soc Trang;429;43;2;10-Thg8-21
Binh Dinh;394;0;3;10-Thg8-21
Quang Ngai;380;0;0;10-Thg8-21
Quang Nam;345;0;4;10-Thg8-21
Dak Lak;339;19;1;10-Thg8-21
Hau Giang;315;8;1;10-Thg8-21
Hung Yen;302;0;0;10-Thg8-21
Nghe An;289;0;1;10-Thg8-21
Binh Phuoc;268;0;0;10-Thg8-21
Vinh Phuc;254;0;1;10-Thg8-21
Ha Tinh;242;0;2;10-Thg8-21
Gia Lai;233;6;0;10-Thg8-21
Thua Thien Hue;155;0;0;10-Thg8-21
Thanh Hoa;148;0;0;10-Thg8-21
Dak Nong;142;0;0;10-Thg8-21
Lang Son;139;0;1;10-Thg8-21
Lam Dong;122;0;0;10-Thg8-21
Bac Lieu;114;1;0;10-Thg8-21
Quang Ninh;104;0;0;10-Thg8-21
Ninh Binh;101;0;0;10-Thg8-21
Thai Binh;101;0;0;10-Thg8-21
Ha Nam;74;0;0;10-Thg8-21
Quang Binh;68;0;0;10-Thg8-21
Dien Bien;61;0;0;10-Thg8-21
Ca Mau;54;2;1;10-Thg8-21
Son La;47;0;0;10-Thg8-21
Lao Cai;45;0;0;10-Thg8-21
Hoa Binh;45;0;0;10-Thg8-21
Hai Phong;38;0;0;10-Thg8-21
Quang Tri;36;0;1;10-Thg8-21
Nam Dinh;31;0;0;10-Thg8-21
Ha Giang;24;0;0;10-Thg8-21
Kon Tum;20;0;0;10-Thg8-21
Thai Nguyen;19;0;0;10-Thg8-21
Phu Tho;18;0;0;10-Thg8-21
Yen Bai;7;0;0;10-Thg8-21
Bac Kan;6;0;0;10-Thg8-21
Tuyen Quang;2;0;0;10-Thg8-21
Lai Chau;2;0;0;10-Thg8-21
Ho Chi Minh;131,618;2128;3321;11-Thg8-21
Binh Duong;32,776;936;220;11-Thg8-21
Long An;11,807;515;124;11-Thg8-21
Dong Nai;9,715;428;76;11-Thg8-21
Bac Giang;5,823;0;12;11-Thg8-21
Khanh Hoa;3,671;41;27;11-Thg8-21
Dong Thap;3,649;15;84;11-Thg8-21
Tien Giang;3,463;177;96;11-Thg8-21
Tay Ninh;3,272;263;7;11-Thg8-21
Ba Ria - Vung Tau;2,459;102;1;11-Thg8-21
Ha Noi;2,45;3;30;11-Thg8-21
Da Nang;2,178;0;42;11-Thg8-21
Can Tho;1,979;0;18;11-Thg8-21
Phu Yen;1,885;33;0;11-Thg8-21
Bac Ninh;1,759;0;14;11-Thg8-21
Vinh Long;1,446;63;19;11-Thg8-21
Binh Thuan;1,29;27;4;11-Thg8-21
Ben Tre;1,208;0;19;11-Thg8-21
Hai Duong;911;0;0;11-Thg8-21
An Giang;633;0;1;11-Thg8-21
Tra Vinh;573;0;4;11-Thg8-21
Ninh Thuan;515;0;3;11-Thg8-21
Kien Giang;500;12;3;11-Thg8-21
Soc Trang;450;0;4;11-Thg8-21
Nghe An;419;2;1;11-Thg8-21
Binh Dinh;404;10;3;11-Thg8-21
Quang Ngai;400;9;0;11-Thg8-21
Dak Lak;375;0;1;11-Thg8-21
Quang Nam;353;0;4;11-Thg8-21
Hau Giang;326;0;1;11-Thg8-21
Hung Yen;302;0;0;11-Thg8-21
Gia Lai;270;0;0;11-Thg8-21
Binh Phuoc;268;0;0;11-Thg8-21
Ha Tinh;264;7;2;11-Thg8-21
Vinh Phuc;254;0;1;11-Thg8-21
Thua Thien Hue;160;0;0;11-Thg8-21
Dak Nong;159;0;0;11-Thg8-21
Thanh Hoa;148;0;0;11-Thg8-21
Lam Dong;140;0;0;11-Thg8-21
Lang Son;140;1;1;11-Thg8-21
Bac Lieu;117;0;0;11-Thg8-21
Thai Binh;105;0;0;11-Thg8-21
Quang Ninh;104;0;0;11-Thg8-21
Ninh Binh;101;0;0;11-Thg8-21
Ha Nam;74;0;0;11-Thg8-21
Quang Binh;69;0;0;11-Thg8-21
Son La;68;19;0;11-Thg8-21
Dien Bien;61;0;0;11-Thg8-21
Lao Cai;57;0;0;11-Thg8-21
Ca Mau;54;0;1;11-Thg8-21
Hoa Binh;45;0;0;11-Thg8-21
Hai Phong;38;0;0;11-Thg8-21
Quang Tri;36;0;1;11-Thg8-21
Nam Dinh;33;1;0;11-Thg8-21
Ha Giang;24;0;0;11-Thg8-21
Kon Tum;20;0;0;11-Thg8-21
Thai Nguyen;19;0;0;11-Thg8-21
Phu Tho;18;0;0;11-Thg8-21
Yen Bai;7;0;0;11-Thg8-21
Bac Kan;6;0;0;11-Thg8-21
Lai Chau;2;0;0;11-Thg8-21
Tuyen Quang;2;0;0;11-Thg8-21
Ho Chi Minh;132,906;0;3582;12-Thg8-21
Binh Duong;33,737;0;242;12-Thg8-21
Long An;12,255;0;134;12-Thg8-21
Dong Nai;10,266;0;87;12-Thg8-21
Bac Giang;5,823;0;12;12-Thg8-21
Dong Thap;3,825;0;94;12-Thg8-21
Khanh Hoa;3,733;0;27;12-Thg8-21
Tien Giang;3,463;0;98;12-Thg8-21
Tay Ninh;3,272;0;7;12-Thg8-21
Ba Ria - Vung Tau;2,538;0;2;12-Thg8-21
Ha Noi;2,487;0;30;12-Thg8-21
Da Nang;2,234;0;43;12-Thg8-21
Can Tho;2,082;0;42;12-Thg8-21
Phu Yen;1,918;0;0;12-Thg8-21
Bac Ninh;1,759;0;14;12-Thg8-21
Vinh Long;1,446;0;19;12-Thg8-21
Binh Thuan;1,331;0;4;12-Thg8-21
Ben Tre;1,208;0;19;12-Thg8-21
Hai Duong;915;0;0;12-Thg8-21
An Giang;675;0;1;12-Thg8-21
Tra Vinh;573;0;4;12-Thg8-21
Ninh Thuan;534;0;3;12-Thg8-21
Kien Giang;500;0;3;12-Thg8-21
Soc Trang;450;0;4;12-Thg8-21
Nghe An;433;0;1;12-Thg8-21
Quang Ngai;405;0;0;12-Thg8-21
Binh Dinh;404;0;3;12-Thg8-21
Dak Lak;375;0;1;12-Thg8-21
Quang Nam;357;0;4;12-Thg8-21
Hau Giang;326;0;1;12-Thg8-21
Hung Yen;302;0;0;12-Thg8-21
Binh Phuoc;287;0;0;12-Thg8-21
Gia Lai;270;0;0;12-Thg8-21
Ha Tinh;266;0;2;12-Thg8-21
Vinh Phuc;254;0;1;12-Thg8-21
Thanh Hoa;161;0;0;12-Thg8-21
Thua Thien Hue;161;0;0;12-Thg8-21
Dak Nong;159;0;0;12-Thg8-21
Lam Dong;140;0;0;12-Thg8-21
Lang Son;140;0;1;12-Thg8-21
Bac Lieu;119;0;0;12-Thg8-21
Thai Binh;105;0;0;12-Thg8-21
Quang Ninh;104;0;0;12-Thg8-21
Ninh Binh;101;0;0;12-Thg8-21
Ha Nam;74;0;0;12-Thg8-21
Quang Binh;69;0;0;12-Thg8-21
Son La;68;0;0;12-Thg8-21
Dien Bien;61;0;0;12-Thg8-21
Lao Cai;57;0;0;12-Thg8-21
Ca Mau;55;0;1;12-Thg8-21
Hoa Binh;45;0;0;12-Thg8-21
Hai Phong;38;0;0;12-Thg8-21
Quang Tri;37;0;1;12-Thg8-21
Nam Dinh;35;0;0;12-Thg8-21
Ha Giang;24;0;0;12-Thg8-21
Kon Tum;20;0;0;12-Thg8-21
Thai Nguyen;19;0;0;12-Thg8-21
Phu Tho;18;0;0;12-Thg8-21
Yen Bai;7;0;0;12-Thg8-21
Bac Kan;6;0;0;12-Thg8-21
Tuyen Quang;2;0;0;12-Thg8-21
Lai Chau;2;0;0;12-Thg8-21
Ho Chi Minh;136,756;0;3807;13-Thg8-21
Binh Duong;36,765;0;284;13-Thg8-21
Long An;12,609;0;140;13-Thg8-21
Dong Nai;11,34;0;87;13-Thg8-21
Bac Giang;5,823;0;12;13-Thg8-21
Dong Thap;3,957;0;94;13-Thg8-21
Khanh Hoa;3,906;0;26;13-Thg8-21
Tien Giang;3,675;0;122;13-Thg8-21
Tay Ninh;3,351;0;7;13-Thg8-21
Ha Noi;2,565;0;30;13-Thg8-21
Ba Ria - Vung Tau;2,538;0;21;13-Thg8-21
Da Nang;2,312;0;45;13-Thg8-21
Can Tho;2,21;0;42;13-Thg8-21
Phu Yen;1,964;0;0;13-Thg8-21
Bac Ninh;1,759;0;15;13-Thg8-21
Vinh Long;1,446;0;22;13-Thg8-21
Binh Thuan;1,363;0;6;13-Thg8-21
Ben Tre;1,242;0;22;13-Thg8-21
Hai Duong;916;0;0;13-Thg8-21
An Giang;691;0;1;13-Thg8-21
Tra Vinh;664;0;4;13-Thg8-21
Ninh Thuan;558;0;3;13-Thg8-21
Kien Giang;523;0;3;13-Thg8-21
Soc Trang;470;0;4;13-Thg8-21
Nghe An;447;0;1;13-Thg8-21
Binh Dinh;424;0;3;13-Thg8-21
Quang Ngai;421;0;0;13-Thg8-21
Dak Lak;405;0;1;13-Thg8-21
Quang Nam;359;0;4;13-Thg8-21
Hau Giang;340;0;1;13-Thg8-21
Hung Yen;303;0;0;13-Thg8-21
Binh Phuoc;293;0;0;13-Thg8-21
Gia Lai;279;0;0;13-Thg8-21
Ha Tinh;274;0;2;13-Thg8-21
Vinh Phuc;254;0;1;13-Thg8-21
Thua Thien Hue;181;0;0;13-Thg8-21
Thanh Hoa;167;0;0;13-Thg8-21
Dak Nong;165;0;0;13-Thg8-21
Lam Dong;162;0;0;13-Thg8-21
Lang Son;140;0;1;13-Thg8-21
Bac Lieu;122;0;0;13-Thg8-21
Thai Binh;111;0;0;13-Thg8-21
Quang Ninh;104;0;0;13-Thg8-21
Ninh Binh;102;0;0;13-Thg8-21
Quang Binh;74;0;0;13-Thg8-21
Ha Nam;74;0;0;13-Thg8-21
Son La;68;0;0;13-Thg8-21
Dien Bien;61;0;0;13-Thg8-21
Lao Cai;58;0;0;13-Thg8-21
Ca Mau;56;0;1;13-Thg8-21
Hoa Binh;45;0;0;13-Thg8-21
Hai Phong;38;0;0;13-Thg8-21
Quang Tri;37;0;1;13-Thg8-21
Nam Dinh;37;0;0;13-Thg8-21
Ha Giang;24;0;0;13-Thg8-21
Kon Tum;21;0;0;13-Thg8-21
Thai Nguyen;19;0;0;13-Thg8-21
Phu Tho;18;0;0;13-Thg8-21
Yen Bai;7;0;0;13-Thg8-21
Bac Kan;6;0;0;13-Thg8-21
Lai Chau;2;0;0;13-Thg8-21
Tuyen Quang;2;0;0;13-Thg8-21
Ho Chi Minh;140,288;0;4030;14-Thg8-21
Binh Duong;39,581;0;309;14-Thg8-21
Long An;13,232;0;143;14-Thg8-21
Dong Nai;12,148;0;90;14-Thg8-21
Bac Giang;5,823;0;12;14-Thg8-21
Khanh Hoa;4,149;0;28;14-Thg8-21
Dong Thap;4,109;0;98;14-Thg8-21
Tien Giang;3,675;0;129;14-Thg8-21
Tay Ninh;3,412;0;7;14-Thg8-21
Ha Noi;2,662;0;30;14-Thg8-21
Ba Ria - Vung Tau;2,607;0;21;14-Thg8-21
Da Nang;2,37;0;45;14-Thg8-21
Can Tho;2,352;0;43;14-Thg8-21
Phu Yen;2,028;0;0;14-Thg8-21
Bac Ninh;1,759;0;15;14-Thg8-21
Vinh Long;1,517;0;22;14-Thg8-21
Binh Thuan;1,391;0;9;14-Thg8-21
Ben Tre;1,242;0;26;14-Thg8-21
Hai Duong;920;0;0;14-Thg8-21
Tra Vinh;804;0;4;14-Thg8-21
An Giang;752;0;1;14-Thg8-21
Ninh Thuan;565;0;3;14-Thg8-21
Kien Giang;531;0;3;14-Thg8-21
Soc Trang;470;0;4;14-Thg8-21
Nghe An;461;0;1;14-Thg8-21
Binh Dinh;436;0;3;14-Thg8-21
Quang Ngai;431;0;0;14-Thg8-21
Dak Lak;412;0;1;14-Thg8-21
Quang Nam;363;0;4;14-Thg8-21
Hau Giang;343;0;1;14-Thg8-21
Hung Yen;325;0;0;14-Thg8-21
Binh Phuoc;300;0;0;14-Thg8-21
Gia Lai;297;0;0;14-Thg8-21
Ha Tinh;289;0;2;14-Thg8-21
Vinh Phuc;254;0;1;14-Thg8-21
Thua Thien Hue;212;0;0;14-Thg8-21
Dak Nong;181;0;0;14-Thg8-21
Thanh Hoa;171;0;0;14-Thg8-21
Lam Dong;164;0;0;14-Thg8-21
