Province;Total infected cases;Today infected cases;Deaths;Date
Kien Giang;888;0;5;22-Thg8-21
Nghe An;765;0;1;22-Thg8-21
Soc Trang;671;0;11;22-Thg8-21
Ninh Thuan;670;0;3;22-Thg8-21
Dak Lak;566;0;2;22-Thg8-21
Binh Dinh;549;0;5;22-Thg8-21
Quang Ngai;546;0;0;22-Thg8-21
Quang Nam;537;0;5;22-Thg8-21
Gia Lai;454;0;0;22-Thg8-21
Thua Thien Hue;422;0;1;22-Thg8-21
Hau Giang;393;0;2;22-Thg8-21
Ha Tinh;372;0;2;22-Thg8-21
Binh Phuoc;345;0;1;22-Thg8-21
Hung Yen;331;0;1;22-Thg8-21
Vinh Phuc;255;0;1;22-Thg8-21
Lam Dong;220;0;0;22-Thg8-21
Thanh Hoa;212;0;0;22-Thg8-21
Dak Nong;207;0;0;22-Thg8-21
Lang Son;169;0;1;22-Thg8-21
Bac Lieu;142;0;0;22-Thg8-21
Thai Binh;118;0;0;22-Thg8-21
Son La;117;0;0;22-Thg8-21
Ninh Binh;113;0;0;22-Thg8-21
Quang Ninh;107;0;0;22-Thg8-21
Quang Binh;106;0;0;22-Thg8-21
Lao Cai;90;0;0;22-Thg8-21
Ca Mau;86;0;1;22-Thg8-21
Quang Tri;84;0;1;22-Thg8-21
Ha Nam;76;0;0;22-Thg8-21
Dien Bien;62;0;0;22-Thg8-21
Nam Dinh;57;0;1;22-Thg8-21
Hai Phong;53;0;0;22-Thg8-21
Hoa Binh;45;0;0;22-Thg8-21
Ha Giang;24;0;0;22-Thg8-21
Thai Nguyen;21;0;0;22-Thg8-21
Kon Tum;21;0;0;22-Thg8-21
Phu Tho;19;0;0;22-Thg8-21
Yen Bai;7;0;0;22-Thg8-21
Bac Kan;7;0;0;22-Thg8-21
Lai Chau;2;0;0;22-Thg8-21
Tuyen Quang;2;0;0;22-Thg8-21
Cao Bang;0;0;0;22-Thg8-21
Ho Chi Minh;175994;0;6670;23-Thg8-21
Binh Duong;70242;0;570;23-Thg8-21
Long An;17805;0;219;23-Thg8-21
Dong Nai;17688;0;138;23-Thg8-21
Tien Giang;7284;0;182;23-Thg8-21
Bac Giang;5857;0;13;23-Thg8-21
Khanh Hoa;5504;0;35;23-Thg8-21
Dong Thap;5452;0;116;23-Thg8-21
Tay Ninh;4303;0;8;23-Thg8-21
Da Nang;3605;0;49;23-Thg8-21
Can Tho;3513;0;61;23-Thg8-21
Ha Noi;3112;0;36;23-Thg8-21
Ba Ria - Vung Tau;3003;0;26;23-Thg8-21
Phu Yen;2447;0;0;23-Thg8-21
Vinh Long;1974;0;29;23-Thg8-21
Bac Ninh;1849;0;15;23-Thg8-21
Binh Thuan;1736;0;16;23-Thg8-21
Ben Tre;1525;0;36;23-Thg8-21
An Giang;1368;0;1;23-Thg8-21
Tra Vinh;1131;0;8;23-Thg8-21
Hai Duong;932;0;1;23-Thg8-21
Kien Giang;903;0;6;23-Thg8-21
Nghe An;833;0;1;23-Thg8-21
Soc Trang;809;0;12;23-Thg8-21
Ninh Thuan;675;0;3;23-Thg8-21
Binh Dinh;569;0;5;23-Thg8-21
Dak Lak;566;0;2;23-Thg8-21
Quang Nam;553;0;5;23-Thg8-21
Quang Ngai;549;0;0;23-Thg8-21
Gia Lai;464;0;0;23-Thg8-21
Thua Thien Hue;422;0;2;23-Thg8-21
Hau Giang;400;0;2;23-Thg8-21
Ha Tinh;392;0;3;23-Thg8-21
Binh Phuoc;345;0;1;23-Thg8-21
Hung Yen;331;0;1;23-Thg8-21
Vinh Phuc;255;0;1;23-Thg8-21
Dak Nong;246;0;0;23-Thg8-21
Lam Dong;220;0;0;23-Thg8-21
Thanh Hoa;212;0;0;23-Thg8-21
Lang Son;174;0;1;23-Thg8-21
Bac Lieu;142;0;0;23-Thg8-21
Son La;132;0;0;23-Thg8-21
Thai Binh;119;0;0;23-Thg8-21
Ninh Binh;113;0;0;23-Thg8-21
Quang Ninh;107;0;0;23-Thg8-21
Quang Binh;106;0;0;23-Thg8-21
Lao Cai;96;0;0;23-Thg8-21
Ca Mau;96;0;1;23-Thg8-21
Quang Tri;87;0;1;23-Thg8-21
Ha Nam;76;0;0;23-Thg8-21
Dien Bien;62;0;0;23-Thg8-21
Nam Dinh;57;0;1;23-Thg8-21
Hai Phong;53;0;0;23-Thg8-21
Hoa Binh;45;0;0;23-Thg8-21
Ha Giang;24;0;0;23-Thg8-21
Thai Nguyen;21;0;0;23-Thg8-21
Kon Tum;21;0;0;23-Thg8-21
Phu Tho;19;0;0;23-Thg8-21
Yen Bai;7;0;0;23-Thg8-21
Bac Kan;7;0;0;23-Thg8-21
Lai Chau;2;0;0;23-Thg8-21
Tuyen Quang;2;0;0;23-Thg8-21
Cao Bang;0;0;0;23-Thg8-21
Ho Chi Minh;180245;0;7010;24-Thg8-21
Binh Duong;73425;0;604;24-Thg8-21
Dong Nai;18311;0;140;24-Thg8-21
Long An;18193;0;225;24-Thg8-21
Tien Giang;7743;0;182;24-Thg8-21
Bac Giang;5866;0;13;24-Thg8-21
Khanh Hoa;5749;0;35;24-Thg8-21
Dong Thap;5552;0;118;24-Thg8-21
Tay Ninh;4320;0;8;24-Thg8-21
Da Nang;3757;0;52;24-Thg8-21
Can Tho;3598;0;62;24-Thg8-21
Ba Ria - Vung Tau;3158;0;27;24-Thg8-21
Ha Noi;3153;0;36;24-Thg8-21
Phu Yen;2490;0;0;24-Thg8-21
Vinh Long;1984;0;29;24-Thg8-21
Bac Ninh;1851;0;15;24-Thg8-21
Binh Thuan;1772;0;16;24-Thg8-21
Ben Tre;1590;0;36;24-Thg8-21
An Giang;1443;0;1;24-Thg8-21
Tra Vinh;1165;0;8;24-Thg8-21
Kien Giang;960;0;6;24-Thg8-21
Nghe An;944;0;1;24-Thg8-21
Hai Duong;932;0;1;24-Thg8-21
Soc Trang;809;0;12;24-Thg8-21
Dak Lak;694;0;2;24-Thg8-21
Ninh Thuan;679;0;3;24-Thg8-21
Binh Dinh;588;0;5;24-Thg8-21
Quang Nam;561;0;5;24-Thg8-21
Quang Ngai;549;0;0;24-Thg8-21
Gia Lai;469;0;0;24-Thg8-21
Thua Thien Hue;439;0;2;24-Thg8-21
Hau Giang;400;0;2;24-Thg8-21
Ha Tinh;396;0;3;24-Thg8-21
Binh Phuoc;358;0;1;24-Thg8-21
Hung Yen;331;0;1;24-Thg8-21
Vinh Phuc;255;0;1;24-Thg8-21
Dak Nong;253;0;0;24-Thg8-21
Lam Dong;221;0;0;24-Thg8-21
Thanh Hoa;213;0;0;24-Thg8-21
Lang Son;174;0;1;24-Thg8-21
Son La;153;0;0;24-Thg8-21
Bac Lieu;147;0;0;24-Thg8-21
Thai Binh;119;0;0;24-Thg8-21
Ninh Binh;119;0;0;24-Thg8-21
Quang Binh;112;0;0;24-Thg8-21
Quang Ninh;107;0;0;24-Thg8-21
Ca Mau;97;0;1;24-Thg8-21
Lao Cai;96;0;0;24-Thg8-21
Quang Tri;87;0;1;24-Thg8-21
Ha Nam;77;0;0;24-Thg8-21
Dien Bien;62;0;0;24-Thg8-21
Nam Dinh;57;0;1;24-Thg8-21
Hai Phong;53;0;0;24-Thg8-21
Hoa Binh;45;0;0;24-Thg8-21
Phu Tho;28;0;0;24-Thg8-21
Ha Giang;24;0;0;24-Thg8-21
Kon Tum;21;0;0;24-Thg8-21
Thai Nguyen;21;0;0;24-Thg8-21
Bac Kan;7;0;0;24-Thg8-21
Yen Bai;7;0;0;24-Thg8-21
Lai Chau;2;0;0;24-Thg8-21
Tuyen Quang;2;0;0;24-Thg8-21
Cao Bang;0;0;0;24-Thg8-21
Ho Chi Minh;184879;0;7302;25-Thg8-21
Binh Duong;77053;0;639;25-Thg8-21
Dong Nai;19110;0;144;25-Thg8-21
Long An;18588;0;225;25-Thg8-21
Tien Giang;7836;0;185;25-Thg8-21
Khanh Hoa;5953;0;35;25-Thg8-21
Bac Giang;5869;0;13;25-Thg8-21
Dong Thap;5714;0;121;25-Thg8-21
Tay Ninh;4425;0;8;25-Thg8-21
Da Nang;3910;0;52;25-Thg8-21
Can Tho;3670;0;62;25-Thg8-21
Ba Ria - Vung Tau;3222;0;29;25-Thg8-21
Ha Noi;3219;0;36;25-Thg8-21
Phu Yen;2514;0;0;25-Thg8-21
Vinh Long;1950;0;29;25-Thg8-21
Bac Ninh;1854;0;15;25-Thg8-21
Binh Thuan;1828;0;17;25-Thg8-21
Ben Tre;1602;0;37;25-Thg8-21
An Giang;1485;0;2;25-Thg8-21
Tra Vinh;1171;0;8;25-Thg8-21
Kien Giang;1021;0;6;25-Thg8-21
Nghe An;972;0;1;25-Thg8-21
Hai Duong;932;0;1;25-Thg8-21
Soc Trang;851;0;14;25-Thg8-21
Dak Lak;715;0;2;25-Thg8-21
Ninh Thuan;683;0;4;25-Thg8-21
Binh Dinh;593;0;6;25-Thg8-21
Quang Nam;572;0;6;25-Thg8-21
Quang Ngai;550;0;0;25-Thg8-21
Gia Lai;472;0;0;25-Thg8-21
Thua Thien Hue;452;0;3;25-Thg8-21
Hau Giang;409;0;2;25-Thg8-21
Ha Tinh;406;0;3;25-Thg8-21
Binh Phuoc;378;0;1;25-Thg8-21
Hung Yen;331;0;1;25-Thg8-21
Vinh Phuc;255;0;1;25-Thg8-21
Dak Nong;253;0;0;25-Thg8-21
Lam Dong;226;0;0;25-Thg8-21
Thanh Hoa;218;0;0;25-Thg8-21
Lang Son;181;0;1;25-Thg8-21
Son La;162;0;0;25-Thg8-21
Bac Lieu;154;0;0;25-Thg8-21
Ninh Binh;119;0;0;25-Thg8-21
Thai Binh;119;0;0;25-Thg8-21
Quang Binh;114;0;0;25-Thg8-21
Quang Ninh;107;0;0;25-Thg8-21
Ca Mau;98;0;1;25-Thg8-21
Quang Tri;96;0;1;25-Thg8-21
Lao Cai;96;0;0;25-Thg8-21
Ha Nam;78;0;0;25-Thg8-21
Dien Bien;62;0;0;25-Thg8-21
Nam Dinh;57;0;1;25-Thg8-21
Hai Phong;57;0;0;25-Thg8-21
Hoa Binh;45;0;0;25-Thg8-21
Phu Tho;29;0;0;25-Thg8-21
Ha Giang;24;0;0;25-Thg8-21
Thai Nguyen;21;0;0;25-Thg8-21
Kon Tum;21;0;0;25-Thg8-21
Bac Kan;7;0;0;25-Thg8-21
Yen Bai;7;0;0;25-Thg8-21
Lai Chau;2;0;0;25-Thg8-21
Tuyen Quang;2;0;0;25-Thg8-21
Cao Bang;0;0;0;25-Thg8-21
Ho Chi Minh;190174;0;7568;26-Thg8-21
Binh Duong;81182;0;670;26-Thg8-21
Dong Nai;19728;0;157;26-Thg8-21
Long An;19048;0;241;26-Thg8-21
Tien Giang;8155;0;186;26-Thg8-21
Khanh Hoa;6103;0;36;26-Thg8-21
Bac Giang;5869;0;13;26-Thg8-21
Dong Thap;5807;0;121;26-Thg8-21
Tay Ninh;4544;0;8;26-Thg8-21
Da Nang;4072;0;55;26-Thg8-21
Can Tho;3760;0;62;26-Thg8-21
Ha Noi;3315;0;37;26-Thg8-21
Ba Ria - Vung Tau;3297;0;29;26-Thg8-21
Phu Yen;2541;0;0;26-Thg8-21
Vinh Long;2000;0;29;26-Thg8-21
Binh Thuan;1934;0;17;26-Thg8-21
Bac Ninh;1857;0;15;26-Thg8-21
Ben Tre;1602;0;38;26-Thg8-21
An Giang;1535;0;2;26-Thg8-21
Tra Vinh;1195;0;8;26-Thg8-21
Nghe An;1067;0;1;26-Thg8-21
Kien Giang;1044;0;6;26-Thg8-21
Hai Duong;932;0;1;26-Thg8-21
Soc Trang;855;0;14;26-Thg8-21
Dak Lak;755;0;2;26-Thg8-21
Ninh Thuan;689;0;4;26-Thg8-21
Binh Dinh;611;0;6;26-Thg8-21
Quang Nam;581;0;6;26-Thg8-21
Quang Ngai;552;0;0;26-Thg8-21
Gia Lai;472;0;0;26-Thg8-21
Thua Thien Hue;452;0;4;26-Thg8-21
Ha Tinh;421;0;3;26-Thg8-21
Hau Giang;413;0;2;26-Thg8-21
Binh Phuoc;385;0;2;26-Thg8-21
Hung Yen;331;0;1;26-Thg8-21
Dak Nong;258;0;0;26-Thg8-21
Vinh Phuc;255;0;1;26-Thg8-21
Lam Dong;226;0;0;26-Thg8-21
Thanh Hoa;221;0;0;26-Thg8-21
Lang Son;181;0;1;26-Thg8-21
Son La;166;0;0;26-Thg8-21
Bac Lieu;161;0;0;26-Thg8-21
Ca Mau;126;0;1;26-Thg8-21
Thai Binh;121;0;0;26-Thg8-21
Ninh Binh;119;0;0;26-Thg8-21
Quang Binh;115;0;0;26-Thg8-21
Quang Ninh;107;0;0;26-Thg8-21
Quang Tri;96;0;1;26-Thg8-21
Lao Cai;96;0;0;26-Thg8-21
Ha Nam;78;0;0;26-Thg8-21
Dien Bien;62;0;0;26-Thg8-21
Nam Dinh;57;0;1;26-Thg8-21
Hai Phong;57;0;0;26-Thg8-21
Hoa Binh;45;0;0;26-Thg8-21
Phu Tho;31;0;0;26-Thg8-21
Ha Giang;24;0;0;26-Thg8-21
Kon Tum;21;0;0;26-Thg8-21
Thai Nguyen;21;0;0;26-Thg8-21
Yen Bai;7;0;0;26-Thg8-21
Bac Kan;7;0;0;26-Thg8-21
Tuyen Quang;2;0;0;26-Thg8-21
Lai Chau;2;0;0;26-Thg8-21
Cao Bang;0;0;0;26-Thg8-21
Ho Chi Minh;194108;0;7810;27-Thg8-21
Binh Duong;86050;0;716;27-Thg8-21
Dong Nai;20471;0;157;27-Thg8-21
Long An;19497;0;244;27-Thg8-21
Tien Giang;8509;0;195;27-Thg8-21
Khanh Hoa;6234;0;39;27-Thg8-21
Dong Thap;5923;0;124;27-Thg8-21
Bac Giang;5872;0;13;27-Thg8-21
Tay Ninh;4586;0;8;27-Thg8-21
Da Nang;4216;0;55;27-Thg8-21
Can Tho;3832;0;62;27-Thg8-21
Ha Noi;3366;0;38;27-Thg8-21
Ba Ria - Vung Tau;3341;0;29;27-Thg8-21
Phu Yen;2565;0;0;27-Thg8-21
Vinh Long;2012;0;32;27-Thg8-21
Binh Thuan;1982;0;19;27-Thg8-21
Bac Ninh;1857;0;15;27-Thg8-21
An Giang;1669;0;2;27-Thg8-21
Ben Tre;1657;0;39;27-Thg8-21
Tra Vinh;1215;0;9;27-Thg8-21
Kien Giang;1156;0;7;27-Thg8-21
Nghe An;1110;0;1;27-Thg8-21
Hai Duong;932;0;1;27-Thg8-21
Soc Trang;864;0;16;27-Thg8-21
Dak Lak;765;0;2;27-Thg8-21
Ninh Thuan;694;0;4;27-Thg8-21
Binh Dinh;626;0;6;27-Thg8-21
Quang Nam;589;0;6;27-Thg8-21
Quang Ngai;559;0;0;27-Thg8-21
Gia Lai;480;0;0;27-Thg8-21
Thua Thien Hue;476;0;5;27-Thg8-21
Ha Tinh;430;0;3;27-Thg8-21
Hau Giang;413;0;2;27-Thg8-21
Binh Phuoc;398;0;2;27-Thg8-21
Hung Yen;334;0;1;27-Thg8-21
Dak Nong;266;0;0;27-Thg8-21
Vinh Phuc;255;0;1;27-Thg8-21
Thanh Hoa;230;0;0;27-Thg8-21
Lam Dong;227;0;0;27-Thg8-21
Lang Son;187;0;1;27-Thg8-21
Son La;176;0;0;27-Thg8-21
Bac Lieu;165;0;0;27-Thg8-21
Quang Binh;138;0;0;27-Thg8-21
Ca Mau;127;0;1;27-Thg8-21
Thai Binh;121;0;0;27-Thg8-21
Ninh Binh;119;0;0;27-Thg8-21
Quang Ninh;107;0;0;27-Thg8-21
Quang Tri;98;0;1;27-Thg8-21
Lao Cai;96;0;0;27-Thg8-21
Ha Nam;79;0;0;27-Thg8-21
Dien Bien;62;0;0;27-Thg8-21
Nam Dinh;57;0;1;27-Thg8-21
Hai Phong;57;0;0;27-Thg8-21
Hoa Binh;45;0;0;27-Thg8-21
Phu Tho;31;0;0;27-Thg8-21
Ha Giang;24;0;0;27-Thg8-21
Thai Nguyen;21;0;0;27-Thg8-21
Kon Tum;21;0;0;27-Thg8-21
Yen Bai;7;0;0;27-Thg8-21
Bac Kan;7;0;0;27-Thg8-21
Lai Chau;2;0;0;27-Thg8-21
Tuyen Quang;2;0;0;27-Thg8-21
Cao Bang;0;0;0;27-Thg8-21
Ho Chi Minh;199492;0;8097;28-Thg8-21
Binh Duong;94745;0;750;28-Thg8-21
Dong Nai;21467;0;170;28-Thg8-21
Long An;19951;0;251;28-Thg8-21
Tien Giang;8821;0;195;28-Thg8-21
Khanh Hoa;6365;0;49;28-Thg8-21
Dong Thap;6045;0;124;28-Thg8-21
Bac Giang;5874;0;13;28-Thg8-21
Tay Ninh;4718;0;8;28-Thg8-21
Da Nang;4418;0;57;28-Thg8-21
Can Tho;3904;0;62;28-Thg8-21
Ha Noi;3443;0;38;28-Thg8-21
Ba Ria - Vung Tau;3400;0;29;28-Thg8-21
Phu Yen;2586;0;30;28-Thg8-21
Binh Thuan;2069;0;19;28-Thg8-21
Vinh Long;2026;0;32;28-Thg8-21
Bac Ninh;1859;0;15;28-Thg8-21
An Giang;1760;0;2;28-Thg8-21
Ben Tre;1688;0;40;28-Thg8-21
Tra Vinh;1234;0;9;28-Thg8-21
Kien Giang;1184;0;7;28-Thg8-21
Nghe An;1167;0;1;28-Thg8-21
Hai Duong;949;0;1;28-Thg8-21
Soc Trang;872;0;17;28-Thg8-21
Dak Lak;828;0;2;28-Thg8-21
Ninh Thuan;700;0;4;28-Thg8-21
Binh Dinh;655;0;6;28-Thg8-21
Quang Nam;594;0;6;28-Thg8-21
Quang Ngai;568;0;0;28-Thg8-21
Thua Thien Hue;546;0;5;28-Thg8-21
Gia Lai;484;0;0;28-Thg8-21
Ha Tinh;436;0;3;28-Thg8-21
Hau Giang;428;0;2;28-Thg8-21
Binh Phuoc;415;0;2;28-Thg8-21
Hung Yen;334;0;1;28-Thg8-21
Dak Nong;266;0;0;28-Thg8-21
Quang Binh;263;0;0;28-Thg8-21
Thanh Hoa;258;0;1;28-Thg8-21
Vinh Phuc;255;0;1;28-Thg8-21
Lam Dong;227;0;0;28-Thg8-21
Lang Son;187;0;1;28-Thg8-21
Son La;179;0;0;28-Thg8-21
Bac Lieu;168;0;0;28-Thg8-21
Ca Mau;135;0;1;28-Thg8-21
Ninh Binh;124;0;0;28-Thg8-21
Thai Binh;121;0;0;28-Thg8-21
Quang Tri;111;0;1;28-Thg8-21
Quang Ninh;107;0;0;28-Thg8-21
Lao Cai;96;0;0;28-Thg8-21
Ha Nam;83;0;0;28-Thg8-21
Dien Bien;62;0;0;28-Thg8-21
Hai Phong;59;0;0;28-Thg8-21
Nam Dinh;57;0;1;28-Thg8-21
Hoa Binh;45;0;0;28-Thg8-21
Phu Tho;31;0;0;28-Thg8-21
Ha Giang;24;0;0;28-Thg8-21
Thai Nguyen;21;0;0;28-Thg8-21
Kon Tum;21;0;0;28-Thg8-21
Bac Kan;7;0;0;28-Thg8-21
Yen Bai;7;0;0;28-Thg8-21
Lai Chau;2;0;0;28-Thg8-21
Tuyen Quang;2;0;0;28-Thg8-21
Cao Bang;0;0;0;28-Thg8-21
Ho Chi Minh;204973;0;8368;29-Thg8-21
Binh Duong;98794;0;788;29-Thg8-21
Dong Nai;22264;0;186;29-Thg8-21
Long An;20402;0;255;29-Thg8-21
Tien Giang;9062;0;210;29-Thg8-21
Khanh Hoa;6457;0;51;29-Thg8-21
Dong Thap;6188;0;126;29-Thg8-21
Bac Giang;5875;0;13;29-Thg8-21
Tay Ninh;4718;0;8;29-Thg8-21
Da Nang;4527;0;58;29-Thg8-21
Can Tho;3941;0;62;29-Thg8-21
Ha Noi;3504;0;38;29-Thg8-21
Ba Ria - Vung Tau;3435;0;29;29-Thg8-21
Phu Yen;2602;0;30;29-Thg8-21
Binh Thuan;2118;0;19;29-Thg8-21
Vinh Long;2032;0;32;29-Thg8-21
Bac Ninh;1861;0;15;29-Thg8-21
An Giang;1780;0;2;29-Thg8-21
Ben Tre;1713;0;41;29-Thg8-21
Kien Giang;1261;0;7;29-Thg8-21
Nghe An;1237;0;2;29-Thg8-21
Tra Vinh;1234;0;9;29-Thg8-21
Hai Duong;949;0;1;29-Thg8-21
Soc Trang;888;0;17;29-Thg8-21
Dak Lak;888;0;2;29-Thg8-21
Ninh Thuan;706;0;4;29-Thg8-21
Binh Dinh;666;0;6;29-Thg8-21
Quang Nam;594;0;6;29-Thg8-21
Quang Ngai;583;0;0;29-Thg8-21
Thua Thien Hue;570;0;6;29-Thg8-21
Gia Lai;486;0;0;29-Thg8-21
Ha Tinh;442;0;3;29-Thg8-21
Hau Giang;439;0;2;29-Thg8-21
Binh Phuoc;415;0;2;29-Thg8-21
Quang Binh;353;0;0;29-Thg8-21
Hung Yen;334;0;1;29-Thg8-21
Thanh Hoa;280;0;1;29-Thg8-21
Dak Nong;274;0;0;29-Thg8-21
Vinh Phuc;255;0;1;29-Thg8-21
Lam Dong;231;0;0;29-Thg8-21
Lang Son;190;0;1;29-Thg8-21
Bac Lieu;181;0;0;29-Thg8-21
Son La;179;0;0;29-Thg8-21
Ca Mau;140;0;1;29-Thg8-21
Ninh Binh;124;0;0;29-Thg8-21
Thai Binh;121;0;0;29-Thg8-21
Quang Tri;111;0;1;29-Thg8-21
Quang Ninh;107;0;0;29-Thg8-21
Lao Cai;96;0;0;29-Thg8-21
Ha Nam;83;0;0;29-Thg8-21
Dien Bien;62;0;0;29-Thg8-21
Hai Phong;59;0;0;29-Thg8-21
Nam Dinh;57;0;1;29-Thg8-21
Hoa Binh;45;0;0;29-Thg8-21
Phu Tho;31;0;0;29-Thg8-21
Ha Giang;24;0;0;29-Thg8-21
Thai Nguyen;21;0;0;29-Thg8-21
Kon Tum;21;0;0;29-Thg8-21
Yen Bai;7;0;0;29-Thg8-21
Bac Kan;7;0;0;29-Thg8-21
Lai Chau;2;0;0;29-Thg8-21
Tuyen Quang;2;0;0;29-Thg8-21
Cao Bang;0;0;0;29-Thg8-21
